Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 5 [6000/49000 (12%)]	Train Loss: 0.041326	Val Loss: 0.002372	Val Acc: 92.2
Train Epoch: 5 [8000/49000 (16%)]	Train Loss: 0.111040	Val Loss: 0.001744	Val Acc: 94.8
Train Epoch: 5 [10000/49000 (20%)]	Train Loss: 0.065587	Val Loss: 0.001995	Val Acc: 93.8
Train Epoch: 5 [12000/49000 (24%)]	Train Loss: 0.064270	Val Loss: 0.001682	Val Acc: 93.8
Train Epoch: 5 [14000/49000 (29%)]	Train Loss: 0.066671	Val Loss: 0.001993	Val Acc: 93.8
Train Epoch: 5 [16000/49000 (33%)]	Train Loss: 0.065253	Val Loss: 0.001777	Val Acc: 95.0
Train Epoch: 5 [18000/49000 (37%)]	Train Loss: 0.115824	Val Loss: 0.001478	Val Acc: 95.2
Train Epoch: 5 [20000/49000 (41%)]	Train Loss: 0.116044	Val Loss: 0.001954	Val Acc: 92.8
Train Epoch: 5 [22000/49000 (45%)]	Train Loss: 0.055568	Val Loss: 0.001394	Val Acc: 95.4
Train Epoch: 5 [24000/49000 (49%)]	Train Loss: 0.158472	Val Loss: 0.001458	Val Acc: 94.8
Train Epoch: 5 [26000/49000 (53%)]	Train Loss: 0.083687	Val Loss: 0.001911	Val Acc: 92.0
Train Epoch: 5 [28000/49000 (57%)]	Train Loss: 0.088762	Val Loss: 0.001684	Val Acc: 93.6
Train Epoch: 5 [30000/49000 (61%)]	Train Loss: 0.046593	Val Loss: 0.002112	Val Acc: 92.2
Train Epoch: 5 [32000/49000 (65%)]	Train Loss: 0.070021	Val Loss: 0.002265	Val Acc: 92.6
Train Epoch: 5 [34000/49000 (69%)]	Train Loss: 0.033345	Val Loss: 0.001742	Val Acc: 91.8
Train Epoch: 5 [36000/49000 (73%)]	Train Loss: 0.078206	Val Loss: 0.001754	Val Acc: 94.0
Train Epoch: 5 [38000/49000 (78%)]	Train Loss: 0.074622	Val Loss: 0.001702	Val Acc: 94.2
Train Epoch: 5 [40000/49000 (82%)]	Train Loss: 0.099092	Val Loss: 0.002507	Val Acc: 90.8
Train Epoch: 5 [42000/49000 (86%)]	Train Loss: 0.119990	Val Loss: 0.001781	Val Acc: 94.4
Train Epoch: 5 [44000/49000 (90%)]	Train Loss: 0.178078	Val Loss: 0.002444	Val Acc: 92.0
Train Epoch: 5 [46000/49000 (94%)]	Train Loss: 0.112428	Val Loss: 0.001384	Val Acc: 95.2
Train Epoch: 5 [48000/49000 (98%)]	Train Loss: 0.073449	Val Loss: 0.001675	Val Acc: 94.2
Train Epoch: 6 [0/49000 (0%)]	Train Loss: 0.560042	Val Loss: 0.001761	Val Acc: 94.4
Train Epoch: 6 [2000/49000 (4%)]	Train Loss: 0.061680	Val Loss: 0.001579	Val Acc: 94.2
Train Epoch: 6 [4000/49000 (8%)]	Train Loss: 0.039539	Val Loss: 0.001415	Val Acc: 94.2
Train Epoch: 6 [6000/49000 (12%)]	Train Loss: 0.044383	Val Loss: 0.002216	Val Acc: 92.4
Train Epoch: 6 [8000/49000 (16%)]	Train Loss: 0.038455	Val Loss: 0.001825	Val Acc: 93.2
Train Epoch: 6 [10000/49000 (20%)]	Train Loss: 0.028660	Val Loss: 0.001834	Val Acc: 94.0
Train Epoch: 6 [12000/49000 (24%)]	Train Loss: 0.067853	Val Loss: 0.002453	Val Acc: 92.0
Train Epoch: 6 [14000/49000 (29%)]	Train Loss: 0.132628	Val Loss: 0.001779	Val Acc: 94.6
Train Epoch: 6 [16000/49000 (33%)]	Train Loss: 0.077872	Val Loss: 0.001829	Val Acc: 93.4
Train Epoch: 6 [18000/49000 (37%)]	Train Loss: 0.078438	Val Loss: 0.002587	Val Acc: 91.0
Train Epoch: 6 [20000/49000 (41%)]	Train Loss: 0.094071	Val Loss: 0.001531	Val Acc: 95.6
Train Epoch: 6 [22000/49000 (45%)]	Train Loss: 0.038711	Val Loss: 0.001772	Val Acc: 93.6
Train Epoch: 6 [24000/49000 (49%)]	Train Loss: 0.126540	Val Loss: 0.001756	Val Acc: 94.2
Train Epoch: 6 [26000/49000 (53%)]	Train Loss: 0.026265	Val Loss: 0.001774	Val Acc: 93.8
Train Epoch: 6 [28000/49000 (57%)]	Train Loss: 0.172564	Val Loss: 0.001458	Val Acc: 94.4
Train Epoch: 6 [30000/49000 (61%)]	Train Loss: 0.111858	Val Loss: 0.001442	Val Acc: 95.8
Train Epoch: 6 [32000/49000 (65%)]	Train Loss: 0.129685	Val Loss: 0.001752	Val Acc: 93.0
Train Epoch: 6 [34000/49000 (69%)]	Train Loss: 0.024769	Val Loss: 0.001931	Val Acc: 93.0
Train Epoch: 6 [36000/49000 (73%)]	Train Loss: 0.066678	Val Loss: 0.001426	Val Acc: 96.0
Train Epoch: 6 [38000/49000 (78%)]	Train Loss: 0.037515	Val Loss: 0.001980	Val Acc: 94.8
Train Epoch: 6 [40000/49000 (82%)]	Train Loss: 0.038086	Val Loss: 0.001674	Val Acc: 94.4
Train Epoch: 6 [42000/49000 (86%)]	Train Loss: 0.017687	Val Loss: 0.001615	Val Acc: 95.4
Train Epoch: 6 [44000/49000 (90%)]	Train Loss: 0.091110	Val Loss: 0.001871	Val Acc: 94.2
Train Epoch: 6 [46000/49000 (94%)]	Train Loss: 0.031402	Val Loss: 0.001995	Val Acc: 92.8
Train Epoch: 6 [48000/49000 (98%)]	Train Loss: 0.030583	Val Loss: 0.001895	Val Acc: 94.6
Train Epoch: 7 [0/49000 (0%)]	Train Loss: 0.517175	Val Loss: 0.001988	Val Acc: 92.0
Train Epoch: 7 [2000/49000 (4%)]	Train Loss: 0.028535	Val Loss: 0.001706	Val Acc: 94.4
Train Epoch: 7 [4000/49000 (8%)]	Train Loss: 0.077971	Val Loss: 0.001929	Val Acc: 94.2
Train Epoch: 7 [6000/49000 (12%)]	Train Loss: 0.028282	Val Loss: 0.001975	Val Acc: 93.4
Train Epoch: 7 [8000/49000 (16%)]	Train Loss: 0.037827	Val Loss: 0.001883	Val Acc: 94.4
Train Epoch: 7 [10000/49000 (20%)]	Train Loss: 0.050120	Val Loss: 0.001937	Val Acc: 93.4
